Here's the unpivoted data in a two-column format, with descriptive labels and excluding empty values:

| Description | Value |
|---|---|
| Academic Year: 2023-24 - Utilised Amount - Library | 177105628 (Seventeen Crore Seventy One Lakh Five Thousand Six Hundred and Twenty Eight Only) |
| Academic Year: 2023-24 - Utilised Amount - New Equipment for Laboratories | 2817100804 (Two Hundred Eighty One Crore Seventy One Lakh Eight Hundred and Four Only) |
| Academic Year: 2023-24 - Utilised Amount - Engineering Workshops | 0 (Zero) |
| Academic Year: 2023-24 - Utilised Amount - Studios | 0 (zero) |
| Academic Year: 2023-24 - Utilised Amount - Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building) | 96499509 (Nine Crore Sixty Four Lakh Ninety Nine Thousand Five Hundred and Nine Only) |
| Academic Year: 2022-23 - Utilised Amount - Library | 60655438 (Six Crore Six Lakh Fifty Five Thousand Four Hundred and Thirty Eight Only) |
| Academic Year: 2022-23 - Utilised Amount - New Equipment for Laboratories | 3091659479 (Three Hundred Nine Crores Sixteen Lakhs Fifty Nine Thousand Four Hundred and Seventy Nine Only) |
| Academic Year: 2022-23 - Utilised Amount - Engineering Workshops | 82044432 (Eight Crore Twenty Lakhs Forty Four Thousand Four Hundred Thirty Two Only) |
| Academic Year: 2022-23 - Utilised Amount - Studios | 0 (zero) |
| Academic Year: 2022-23 - Utilised Amount - Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building) | 173684513 (Seventeen Crore Thirty Six Lakhs Eighty Four Thousand Five Hundred and Thirteen Only) |
| Academic Year: 2021-22 - Utilised Amount - Library | 395211540 (Thirty Nine Crore Fifty Two Lakh Eleven Thousand Five Hundred Forty Only) |
| Academic Year: 2021-22 - Utilised Amount - New Equipment for Laboratories | 859086724 (Eighty Five Crore Ninety Lakh Eighty Six Thousand Seven Hundred and Twenty Four Only) |
| Academic Year: 2021-22 - Utilised Amount - Engineering Workshops | 99980000 (Nine Crore Ninety Nine Lakh And Eighty Thousand Only) |
| Academic Year: 2021-22 - Utilised Amount - Studios | 0 (Zero) |
| Academic Year: 2021-22 - Utilised Amount - Other expenditure on creation of Capital Assets (excluding expenditure on Land and Building) | 80795586 (Eight Crore Seven Lakhs Ninety Five Thousand Five Hundred And Eighty Six Only) |
